date,geography,hpi_normalized_jan2015,stock_rent_index_normalized_jan2015,price_to_stock_rent_index,stock_rent_to_price_index,interpretation,source_ids
2015-01-01,England,1,1,1,1,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-02-01,England,1.0029850746268658,1.0018429016906967,1.0011400718957451,0.99886122638804553,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-03-01,England,1.0029850746268658,1.0050525239258039,0.99794294402558936,1.0020612961760245,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-04-01,England,1.0149253731343284,1.0092611211481244,1.0056122760180839,0.99441904583712248,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-05-01,England,1.026865671641791,1.0138487334703552,1.0128391324481705,0.98732362125746809,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-06-01,England,1.0343283582089551,1.0157722160743061,1.0182680150539691,0.98205971828251826,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-07-01,England,1.0522388059701493,1.0180066545790387,1.0336266479567033,0.96746731711766787,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-08-01,England,1.0641791044776119,1.0221804242494239,1.0410873454742857,0.9605341995050688,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-09-01,England,1.0671641791044777,1.0262633501114482,1.039854126125217,0.96167334905548296,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-10-01,England,1.0686567164179104,1.0277760100063718,1.0397758908687558,0.96174570768752665,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-11-01,England,1.0776119402985076,1.0300130265110714,1.046211953210598,0.95582926282883351,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2015-12-01,England,1.0820895522388059,1.0326111226016252,1.0479158402947681,0.95427510640426061,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-01-01,England,1.0865671641791044,1.0350923125317708,1.0497297207448379,0.95262616675314082,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-02-01,England,1.0880597014925375,1.0370990890870364,1.0491376503380809,0.95316377186325696,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-03-01,England,1.0985074626865672,1.0413853454893152,1.05485204630992,0.94800024657315374,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-04-01,England,1.1029850746268657,1.0441721143488827,1.0563249673782538,0.94667837160182866,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-05-01,England,1.1164179104477612,1.0478043567119137,1.0654831727853868,0.93854133555746289,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-06-01,England,1.1268656716417911,1.0511286508407913,1.0720530457812354,0.93278966366004001,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-07-01,England,1.1388059701492537,1.0554196949572945,1.0790076929494226,0.92677745166630066,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-08-01,England,1.1402985074626866,1.0585515598029211,1.0772252866690639,0.92831092286381833,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-09-01,England,1.1388059701492537,1.0617352670002649,1.0725893784867273,0.93232323576694309,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
2016-10-01,England,1.1343283582089552,1.064269269101163,1.0658283492174505,0.93823738197076212,relative index only; not a gross or net rental yield,HMLR_UKHPI_INDICES_2026_05|ONS_PIPR_2026_07_22
