year,geography,arithmetic_mean_index,january_index,december_index,december_to_december_100_log_change,growth_support_status,source_id,log_annual_mean_normalized_2008
2008,England,60.249999999999993,63.299999999999997,54.799999999999997,,prior December outside extracted core,HMLR_UKHPI_INDICES_2026_05,0
2009,England,55.024999999999999,53.700000000000003,57.5,4.8094753849334877,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,-0.090714944958238924
2010,England,58.600000000000001,57.600000000000001,58.100000000000001,1.0380716054560817,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,-0.027767875787797346
2011,England,57.891666666666673,57.600000000000001,57.700000000000003,-0.69084903438116729,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,-0.039929124459929202
2012,England,58.616666666666653,57.5,58.899999999999999,2.0583917143486974,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,-0.027483502118882737
2013,England,60.308333333333337,58.399999999999999,62.299999999999997,5.6120335135866322,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.00096771971331753831
2014,England,65.341666666666669,62.200000000000003,67.200000000000003,7.5711821735696567,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.081127341078111703
2015,England,69.75833333333334,67,72.5,7.5913314331525275,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.1465343155072463
2016,England,75.11666666666666,72.799999999999997,76.599999999999994,5.5010514885916457,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.22053988809778322
2017,England,78.666666666666671,76.5,80.099999999999994,4.4678777327767873,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.26671694398673618
2018,England,80.924999999999997,79.599999999999994,81.400000000000006,1.6099418934181116,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.29502022744154377
2019,England,81.474999999999994,80.799999999999997,82,0.73439742557585053,complete December-to-December support,HMLR_UKHPI_INDICES_2026_05,0.30179365235286093
