date,geography,area_code,index,estimated_monthly_rent_gbp,method_segment,source_id
2015-01-01,England,E92000001,81.458495999999997,950,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-02-01,England,E92000001,81.608615999999998,952,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-03-01,England,E92000001,81.870067000000006,955,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-04-01,England,E92000001,82.212892999999994,959,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-05-01,England,E92000001,82.586592999999993,963,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-06-01,England,E92000001,82.743277000000006,965,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-07-01,England,E92000001,82.925291000000001,967,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-08-01,England,E92000001,83.265280000000004,971,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-09-01,England,E92000001,83.597869000000003,975,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-10-01,England,E92000001,83.721087999999995,977,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-11-01,England,E92000001,83.903312,979,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2015-12-01,England,E92000001,84.114948999999996,981,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-01-01,England,E92000001,84.317063000000005,983,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-02-01,England,E92000001,84.480531999999997,985,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-03-01,England,E92000001,84.829684,989,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-04-01,England,E92000001,85.056690000000003,992,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-05-01,England,E92000001,85.352566999999993,996,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-06-01,England,E92000001,85.623358999999994,999,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-07-01,England,E92000001,85.972900999999993,1003,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-08-01,England,E92000001,86.228018000000006,1006,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-09-01,England,E92000001,86.487358,1009,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-10-01,England,E92000001,86.693774000000005,1011,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-11-01,England,E92000001,86.938068000000001,1014,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2016-12-01,England,E92000001,87.138678999999996,1016,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-01-01,England,E92000001,87.309095999999997,1018,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-02-01,England,E92000001,87.376205999999996,1019,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-03-01,England,E92000001,87.529887000000002,1021,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-04-01,England,E92000001,87.720669000000001,1023,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-05-01,England,E92000001,87.690496999999993,1023,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-06-01,England,E92000001,87.863050999999999,1025,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-07-01,England,E92000001,88.115769999999998,1028,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-08-01,England,E92000001,88.134793999999999,1028,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-09-01,England,E92000001,88.085706000000002,1027,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-10-01,England,E92000001,88.198569000000006,1029,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-11-01,England,E92000001,88.285937000000004,1030,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2017-12-01,England,E92000001,88.345876000000004,1030,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-01-01,England,E92000001,88.230283,1029,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-02-01,England,E92000001,88.403373999999999,1031,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-03-01,England,E92000001,88.262354999999999,1029,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-04-01,England,E92000001,88.239266999999998,1029,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-05-01,England,E92000001,88.240065000000001,1029,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-06-01,England,E92000001,88.304783999999998,1030,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-07-01,England,E92000001,88.479429999999994,1032,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-08-01,England,E92000001,88.642370999999997,1034,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-09-01,England,E92000001,88.758442000000002,1035,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-10-01,England,E92000001,88.966184999999996,1038,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-11-01,England,E92000001,89.171128999999993,1040,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2018-12-01,England,E92000001,89.349943999999994,1042,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-01-01,England,E92000001,89.399265,1043,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-02-01,England,E92000001,89.588714999999993,1045,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-03-01,England,E92000001,89.612324000000001,1045,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-04-01,England,E92000001,89.640739999999994,1046,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-05-01,England,E92000001,90.081117000000006,1051,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-06-01,England,E92000001,90.069541000000001,1051,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-07-01,England,E92000001,90.179895000000002,1052,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-08-01,England,E92000001,90.375820000000004,1054,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-09-01,England,E92000001,90.666753,1058,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-10-01,England,E92000001,90.864574000000005,1060,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-11-01,England,E92000001,91.040419,1062,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
2019-12-01,England,E92000001,91.183818000000002,1064,PIPR; 2015-2019 only,ONS_PIPR_2026_07_22
