date,geography,area_code,index,source_id
2008-01-01,England,E92000001,63.299999999999997,HMLR_UKHPI_INDICES_2026_05
2008-02-01,England,E92000001,62.799999999999997,HMLR_UKHPI_INDICES_2026_05
2008-03-01,England,E92000001,62.299999999999997,HMLR_UKHPI_INDICES_2026_05
2008-04-01,England,E92000001,62.5,HMLR_UKHPI_INDICES_2026_05
2008-05-01,England,E92000001,62.700000000000003,HMLR_UKHPI_INDICES_2026_05
2008-06-01,England,E92000001,61.899999999999999,HMLR_UKHPI_INDICES_2026_05
2008-07-01,England,E92000001,61.399999999999999,HMLR_UKHPI_INDICES_2026_05
2008-08-01,England,E92000001,60,HMLR_UKHPI_INDICES_2026_05
2008-09-01,England,E92000001,58.5,HMLR_UKHPI_INDICES_2026_05
2008-10-01,England,E92000001,57.200000000000003,HMLR_UKHPI_INDICES_2026_05
2008-11-01,England,E92000001,55.600000000000001,HMLR_UKHPI_INDICES_2026_05
2008-12-01,England,E92000001,54.799999999999997,HMLR_UKHPI_INDICES_2026_05
2009-01-01,England,E92000001,53.700000000000003,HMLR_UKHPI_INDICES_2026_05
2009-02-01,England,E92000001,53.200000000000003,HMLR_UKHPI_INDICES_2026_05
2009-03-01,England,E92000001,52.600000000000001,HMLR_UKHPI_INDICES_2026_05
2009-04-01,England,E92000001,53.100000000000001,HMLR_UKHPI_INDICES_2026_05
2009-05-01,England,E92000001,53.799999999999997,HMLR_UKHPI_INDICES_2026_05
2009-06-01,England,E92000001,54.399999999999999,HMLR_UKHPI_INDICES_2026_05
2009-07-01,England,E92000001,55.399999999999999,HMLR_UKHPI_INDICES_2026_05
2009-08-01,England,E92000001,56,HMLR_UKHPI_INDICES_2026_05
2009-09-01,England,E92000001,56.600000000000001,HMLR_UKHPI_INDICES_2026_05
2009-10-01,England,E92000001,56.899999999999999,HMLR_UKHPI_INDICES_2026_05
2009-11-01,England,E92000001,57.100000000000001,HMLR_UKHPI_INDICES_2026_05
2009-12-01,England,E92000001,57.5,HMLR_UKHPI_INDICES_2026_05
2010-01-01,England,E92000001,57.600000000000001,HMLR_UKHPI_INDICES_2026_05
2010-02-01,England,E92000001,57.899999999999999,HMLR_UKHPI_INDICES_2026_05
2010-03-01,England,E92000001,57.700000000000003,HMLR_UKHPI_INDICES_2026_05
2010-04-01,England,E92000001,58.399999999999999,HMLR_UKHPI_INDICES_2026_05
2010-05-01,England,E92000001,58.700000000000003,HMLR_UKHPI_INDICES_2026_05
2010-06-01,England,E92000001,59,HMLR_UKHPI_INDICES_2026_05
