date,publisher_date,geography,owner_2y_fixed_75ltv_pct,btl_2y_fixed_75ltv_pct,btl_minus_owner_spread_pp,interpretation,source_id
2008-01-01,2008-01-31,United Kingdom,5.9699999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-02-01,2008-02-29,United Kingdom,5.7400000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-03-01,2008-03-31,United Kingdom,5.7999999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-04-01,2008-04-30,United Kingdom,6.0599999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-05-01,2008-05-31,United Kingdom,6.2599999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-06-01,2008-06-30,United Kingdom,6.5999999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-07-01,2008-07-31,United Kingdom,6.3499999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-08-01,2008-08-31,United Kingdom,6.0800000000000001,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-09-01,2008-09-30,United Kingdom,5.96,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-10-01,2008-10-31,United Kingdom,5.8300000000000001,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-11-01,2008-11-30,United Kingdom,5.0999999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2008-12-01,2008-12-31,United Kingdom,4.7699999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-01-01,2009-01-31,United Kingdom,4.3499999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-02-01,2009-02-28,United Kingdom,4.3499999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-03-01,2009-03-31,United Kingdom,3.98,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-04-01,2009-04-30,United Kingdom,4.0199999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-05-01,2009-05-31,United Kingdom,3.98,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-06-01,2009-06-30,United Kingdom,4.4500000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-07-01,2009-07-31,United Kingdom,4.4199999999999999,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-08-01,2009-08-31,United Kingdom,4.4299999999999997,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-09-01,2009-09-30,United Kingdom,4.4699999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-10-01,2009-10-31,United Kingdom,4.3200000000000003,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-11-01,2009-11-30,United Kingdom,4.0999999999999996,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2009-12-01,2009-12-31,United Kingdom,4.0499999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-01-01,2010-01-31,United Kingdom,3.9700000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-02-01,2010-02-28,United Kingdom,3.8799999999999999,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-03-01,2010-03-31,United Kingdom,3.9199999999999999,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-04-01,2010-04-30,United Kingdom,3.8199999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-05-01,2010-05-31,United Kingdom,3.7799999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-06-01,2010-06-30,United Kingdom,3.6699999999999999,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-07-01,2010-07-31,United Kingdom,3.77,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-08-01,2010-08-31,United Kingdom,3.7400000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-09-01,2010-09-30,United Kingdom,3.7999999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-10-01,2010-10-31,United Kingdom,3.6800000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-11-01,2010-11-30,United Kingdom,3.5299999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2010-12-01,2010-12-31,United Kingdom,3.5,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2011-01-01,2011-01-31,United Kingdom,3.7000000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2011-02-01,2011-02-28,United Kingdom,3.7000000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2011-03-01,2011-03-31,United Kingdom,3.6800000000000002,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2011-04-01,2011-04-30,United Kingdom,3.6600000000000001,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2011-05-01,2011-05-31,United Kingdom,3.5099999999999998,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
2011-06-01,2011-06-30,United Kingdom,3.3599999999999999,,,quoted product rates; not realized borrower costs,BOE_QUOTED_RATES_2008_2019
